Time (s),MPC Tt,MPC wt,MPC Ts,Reference Tt,Reference wt
1097.0,24.10117048232892,0.00898877257502901,12.004688575580456,24.0,0.009000000000000001
1097.5,24.102311558449916,0.008989025678052048,12.005304895812746,24.0,0.009000000000000001
1098.0,24.106734834568044,0.0089888510339046,12.006166798691739,24.0,0.009000000000000001
1098.5,24.10571877565955,0.0089881115151899,12.005031434711979,24.0,0.009000000000000001
1099.0,24.106684283849834,0.00898835215130957,12.005600142188289,24.0,0.009000000000000001
1099.5,24.108316036049917,0.00898822495950052,12.00584798559165,24.0,0.009000000000000001
1100.0,24.12229115526119,0.008988632718864676,22.980506543990714,24.0,0.009000000000000001
1100.5,24.15422167104919,0.00898798471762764,24.999163070639124,24.5,0.0095
1101.0,24.200069981544626,0.008986767736281724,25.01216866870784,24.5,0.0095
1101.5,24.241972841632474,0.008985550405672858,24.996053487026156,24.5,0.0095
1102.0,24.278787051202414,0.008984618400198466,25.008351847481084,24.5,0.0095
1102.5,24.31367027140977,0.008984110641914338,24.99740168013888,24.5,0.0095
1103.0,24.3484816151256,0.008984157186428744,25.008242774578093,24.5,0.0095
1103.5,24.385772310346326,0.008984742159190005,24.994027628099662,24.5,0.0095
1104.0,24.42218321320217,0.008985995842038305,25.009021429886644,24.5,0.0095
1104.5,24.452836085376898,0.008987857294697012,24.98261845977896,24.5,0.0095
1105.0,24.478439890939704,0.008990391825040916,25.00492613282775,24.5,0.0095
1105.5,24.508518448533724,0.008993508140898332,24.988179544535534,24.5,0.0095
1106.0,24.527654784871785,0.008997107198097673,16.600225959278436,24.5,0.0095
1106.5,24.545416966310224,0.008999905692075713,12.003999510797232,24.5,0.0095
1107.0,24.55124777538433,0.008999918473195817,12.002085451701795,24.5,0.0095
1107.5,24.561990983796438,0.008999902491453996,12.002825767779473,24.5,0.0095
1108.0,24.569737797354698,0.008999872659807746,12.002844862593587,24.5,0.0095
1108.5,24.573637373194487,0.00899987812288261,12.002744938563675,24.5,0.0095
1109.0,24.582868655715913,0.008999882870956946,12.004057905431411,24.5,0.0095
1109.5,24.589589380596934,0.008999869316202551,12.004216933514524,24.5,0.0095
1110.0,24.595374893604443,0.008999863664340666,12.004645395737036,24.5,0.0095
1110.5,24.601146387361684,0.008999892910654967,12.00521683968967,24.5,0.0095
1111.0,24.597714642314266,0.008999886863367439,12.003695490233847,24.5,0.0095
1111.5,24.600537844288443,0.008999894263521867,12.00528591784751,24.5,0.0095
1112.0,24.601643434691656,0.00899986100866651,12.00510078441815,24.5,0.0095
1112.5,24.600608618319722,0.008999908473179982,12.004739315083395,24.5,0.0095
1113.0,24.597969665151354,0.008999883370105615,12.004409046044001,24.5,0.0095
1113.5,24.597526562444642,0.008999913165050704,12.004846972793704,24.5,0.0095
1114.0,24.594064306444334,0.008999869498040818,12.004079417245565,24.5,0.0095
1114.5,24.590326010861265,0.008999917558578898,12.003856208661988,24.5,0.0095
1115.0,24.595798889427687,0.008999865067921832,12.005750196971167,24.5,0.0095
1115.5,24.601101383967816,0.00899989464389151,12.005801621250592,24.5,0.0095
1116.0,24.606092969774448,0.008999893554530526,12.005999863893654,24.5,0.0095
1116.5,24.603933644844673,0.00899991709105203,12.004636841249658,24.5,0.0095
1117.0,24.605001260595763,0.008999872626318085,12.005532695823437,24.5,0.0095
1117.5,24.603180801519432,0.008999882579946671,12.004921524618837,24.5,0.0095
1118.0,24.60216326851342,0.008999904719561896,12.005097425191058,24.5,0.0095
1118.5,24.59865985287936,0.008999868632807112,12.004444980774972,24.5,0.0095
1119.0,24.601863126604453,0.008999903853393934,12.005898967947916,24.5,0.0095
1119.5,24.596318888028353,0.00899986276426614,12.003827988121614,24.5,0.0095
