Time (s),LQR fa_dot,LQR fw_dot,LQR u3
1295.0,2.5999385692456514,0.003,-5e-05
1295.5,2.599934967576383,0.0,-5e-05
1296.0,2.5999334999381842,0.003,-5e-05
1296.5,2.599885095556984,0.0,5e-05
1297.0,2.599877160776123,0.0014043924125993637,5e-05
1297.5,2.5998912215482806,0.0,5e-05
1298.0,2.5999500638449438,0.003,-5e-05
1298.5,2.5999230523655332,0.0,-1.2634269241612595e-05
1299.0,2.599910813635576,0.003,3.8104223963858486e-05
1299.5,2.599871002053047,0.0,5e-05
1300.0,2.599857911430028,0.0,5e-05
1300.5,2.599938234411949,0.003,-5e-05
1301.0,2.600022921153558,0.0,-5e-05
1301.5,2.6001083928709554,0.003,-5e-05
1302.0,2.6001669456580547,0.0,-5e-05
1302.5,2.600252657714213,0.003,-5e-05
1303.0,2.6002963197809725,0.0,-5e-05
1303.5,2.6003641797622263,0.003,-5e-05
1304.0,2.6004112742760217,0.0,-5e-05
1304.5,2.6004799681571273,0.003,-5e-05
1305.0,2.600504916538269,0.0,-5e-05
1305.5,2.600574222619091,0.003,-5e-05
1306.0,2.6006115247844392,0.0,-5e-05
1306.5,2.6006755425458685,0.003,-5e-05
1307.0,2.600706808904001,0.003,-5e-05
1307.5,2.6006455827983936,0.0,-5e-05
1308.0,2.600685806508036,0.003,-5e-05
1308.5,2.6007140650108314,0.003,-5e-05
1309.0,2.6006358764811828,0.0,-5e-05
1309.5,2.600666016261462,0.003,-5e-05
1310.0,2.600676507866738,0.0,-5e-05
1310.5,2.6007253289244785,0.003,-5e-05
1311.0,2.6007447774094983,0.003,-5e-05
1311.5,2.6006647540903423,0.0,-5e-05
1312.0,2.600689738154065,0.003,-5e-05
1312.5,2.6007004313094537,0.0010162322525669612,-5e-05
1313.0,2.600701840487677,0.003,-5e-05
1313.5,2.6006703349915377,0.0,-5e-05
1314.0,2.6006991472721683,0.003,-5e-05
1314.5,2.6006948706017767,0.002142580111065372,-5e-05
1315.0,2.600640781703195,0.003,-5e-05
1315.5,2.600566081925107,0.0,-5e-05
1316.0,2.6005700272355843,0.003,-5e-05
1316.5,2.6005606783498427,0.0,-5e-05
1317.0,2.6005901407852043,0.003,-5e-05
1317.5,2.600582079800236,0.0,-5e-05
1318.0,2.6006149807420504,0.003,-5e-05
1318.5,2.600607966141064,0.0,-5e-05
1319.0,2.6006219483146187,0.003,-5e-05
1319.5,2.600626576238602,0.0,-5e-05
1320.0,2.6006598718828506,0.003,-5e-05
1320.5,2.600657834083713,0.0,-5e-05
1321.0,2.600690202720801,0.003,-5e-05
1321.5,2.6006736646225197,0.0007270143656537989,-5e-05
1322.0,2.600660286890477,0.003,-5e-05
1322.5,2.6006153457055974,0.0,-5e-05
1323.0,2.600619104759225,0.003,-5e-05
1323.5,2.6006072376794207,0.0,-5e-05
1324.0,2.600630449984455,0.003,-5e-05
1324.5,2.600619681684672,0.0,-5e-05
1325.0,2.6006320458891725,0.003,-5e-05
1325.5,2.6006078462730193,0.0,-5e-05
1326.0,2.600619030253835,0.003,-5e-05
1326.5,2.6005910618669783,0.0,-5e-05
1327.0,2.600583711463457,0.003,-5e-05
1327.5,2.600559064218831,0.0,-5e-05
1328.0,2.6005664420345913,0.003,-5e-05
1328.5,2.600541169195796,0.0,-5e-05
1329.0,2.6005321148657035,0.003,-5e-05
1329.5,2.6005041097670856,0.0,-5e-05
1330.0,2.600502368015954,0.003,-5e-05
1330.5,2.6004685710635354,0.0,-5e-05
1331.0,2.600465105963376,0.003,-5e-05
1331.5,2.6004212944757903,0.0,-5e-05
1332.0,2.6004089518470606,0.003,-5e-05
1332.5,2.600369453347769,0.0,-5e-05
1333.0,2.6003563152299884,0.003,-5e-05
1333.5,2.6003184170032454,0.0,-5e-05
1334.0,2.6003080128845037,0.003,-5e-05
1334.5,2.60026437704496,0.0,-5e-05
1335.0,2.600232792689492,0.003,-5e-05
1335.5,2.6001834706100126,0.0,-5e-05
1336.0,2.6001487728786876,0.003,-5e-05
1336.5,2.6000927897600055,0.0,-5e-05
1337.0,2.6000646258518008,0.003,-5e-05
1337.5,2.600000976322577,0.0,5e-05
1338.0,2.599969480470514,0.003,5e-05
1338.5,2.599912526497799,0.0,5e-05
1339.0,2.5998965240999232,0.003,5e-05
1339.5,2.599843490624084,0.0,5e-05
1340.0,2.599823762673684,0.0,5e-05
1340.5,2.5998963061758302,0.003,5e-05
1341.0,2.599861722696764,0.0,5e-05
1341.5,2.599837622691265,0.0,5e-05
1342.0,2.5999116862319247,0.003,5e-05
1342.5,2.5998868393907917,0.0,5e-05
1343.0,2.599860539899831,0.0022492952356730645,5e-05
1343.5,2.599854246306225,0.0,5e-05
1344.0,2.59985615547812,0.003,5e-05
1344.5,2.599814117985417,0.0,5e-05
1345.0,2.5997965406645753,0.0,5e-05
1345.5,2.5998802640902126,0.003,5e-05
1346.0,2.599856385557698,0.0,5e-05
1346.5,2.5998400549413643,0.0,5e-05
1347.0,2.5999339595501305,0.003,5e-05
1347.5,2.5999095357228494,0.0,5e-05
1348.0,2.5999058025845003,0.003,5e-05
1348.5,2.5998618146616357,0.0,5e-05
1349.0,2.599841678905226,0.0,5e-05
1349.5,2.599914360408878,0.003,5e-05
1350.0,2.599896695793515,0.0,5e-05
1350.5,2.5998895048790724,0.003,5e-05
1351.0,2.5998389978974568,0.0,5e-05
1351.5,2.599832554362827,0.0,5e-05
1352.0,2.5999159444587465,0.003,5e-05
1352.5,2.599908844410796,0.0,5e-05
1353.0,2.599902887085129,0.003,5e-05
1353.5,2.5998696034536968,0.0,5e-05
1354.0,2.599852699490105,0.0,5e-05
1354.5,2.5999304680564697,0.003,5e-05
1355.0,2.5999198191795694,0.0,5e-05
1355.5,2.599919827115368,0.003,5e-05
1356.0,2.599887556450258,0.0,5e-05
1356.5,2.599862461366572,0.0,5e-05
1357.0,2.5999488438223275,0.003,5e-05
1357.5,2.5999347708511933,0.0,5e-05
1358.0,2.5999210756254034,0.003,5e-05
1358.5,2.5998848152196317,0.0,5e-05
1359.0,2.5998729850681803,0.0,5e-05
1359.5,2.5999592265375515,0.003,5e-05
1360.0,2.5999575266409933,0.0,5e-05
1360.5,2.5999560235676435,0.003,5e-05
1361.0,2.599923778917506,0.0,5e-05
1361.5,2.599916994516382,0.0015698861626117658,5e-05
1362.0,2.5999381807948776,0.0,5e-05
1362.5,2.5999864885746016,0.003,-5e-05
1363.0,2.5999599925297185,0.0,5e-05
1363.5,2.5999570940062786,0.003,5e-05
1364.0,2.5999271313219854,0.0,5e-05
1364.5,2.5999125491142983,2.846164388358081e-05,5e-05
1365.0,2.6000066851383408,0.003,-5e-05
1365.5,2.6000004446355756,0.0,-5e-05
1366.0,2.600000844405208,0.003,-5e-05
1366.5,2.5999639065363396,0.0,5e-05
1367.0,2.599944727172046,0.003,5e-05
1367.5,2.5999071164893315,0.0,5e-05
1368.0,2.599898552433534,0.0,5e-05
1368.5,2.5999765797918144,0.003,-5e-05
1369.0,2.599971527850094,0.0,5e-05
1369.5,2.599972752684022,0.003,5e-05
1370.0,2.599934148022586,0.0,5e-05
1370.5,2.5999251548712823,0.0015259928125014191,5e-05
1371.0,2.5999551634862277,0.0,5e-05
1371.5,2.6000135695891764,0.003,-5e-05
1372.0,2.6000037785046684,0.0,-5e-05
1372.5,2.600001575724649,0.003,-5e-05
1373.0,2.5999591556305104,0.0,5e-05
1373.5,2.5999523293257067,0.003,5e-05
1374.0,2.599919653929432,0.0,5e-05
1374.5,2.5999081072357857,0.0,5e-05
1375.0,2.599989279374927,0.003,-5e-05
1375.5,2.5999919426375584,0.0,-5e-05
1376.0,2.5999908491372334,0.003,-5e-05
1376.5,2.599947625834214,0.0,5e-05
1377.0,2.5999392954413008,0.003,5e-05
1377.5,2.59989607410981,0.0,5e-05
1378.0,2.599887948484504,0.0,5e-05
1378.5,2.599978608738593,0.003,-5e-05
1379.0,2.5999658563124046,0.0,5e-05
1379.5,2.5999639100225673,0.003,5e-05
1380.0,2.5999235169516264,0.0,5e-05
1380.5,2.5999137198195217,0.0,5e-05
1381.0,2.600006338964414,0.003,-5e-05
1381.5,2.600008623305891,0.0,-5e-05
1382.0,2.599999013379865,0.003,-5e-05
1382.5,2.5999636054082984,0.0,5e-05
1383.0,2.599951208106382,0.003,5e-05
1383.5,2.5999017725334954,0.0,5e-05
1384.0,2.5999061656194447,0.0,5e-05
1384.5,2.5999880968319276,0.003,-5e-05
1385.0,2.5999873205050172,0.0,-5e-05
1385.5,2.5999890307177074,0.003,-5e-05
1386.0,2.5999652602008965,0.0,5e-05
1386.5,2.5999586542498405,0.003,5e-05
1387.0,2.599917648971854,0.0,5e-05
1387.5,2.5999071871405626,0.0,5e-05
1388.0,2.5999989776913295,0.003,-5e-05
1388.5,2.599995021747864,0.0,-5e-05
1389.0,2.600000135363911,0.003,-5e-05
1389.5,2.599969619515245,0.0,5e-05
1390.0,2.5999769410712315,0.003,-5e-05
1390.5,2.5999297000641928,0.0,5e-05
1391.0,2.599918052532549,0.0,5e-05
1391.5,2.6000006119758674,0.003,-5e-05
1392.0,2.5999860065054867,0.0,-5e-05
1392.5,2.5999867109809927,0.003,-5e-05
1393.0,2.5999444068336164,0.0,5e-05
1393.5,2.599938224665774,0.0027564058486632004,5e-05
1394.0,2.5999091784326107,0.0,5e-05
1394.5,2.5999155914359546,0.002644810017244358,5e-05
1395.0,2.599892699472991,0.0,5e-05
1395.5,2.59988959070547,0.0003006507517472215,5e-05
1396.0,2.59997397318998,0.003,-5e-05
1396.5,2.5999516026101985,0.0,5e-05
1397.0,2.59994822674549,0.003,5e-05
1397.5,2.5999056829745752,0.0,5e-05
1398.0,2.5998923206183733,0.0,5e-05
1398.5,2.599990199823206,0.003,-5e-05
1399.0,2.599982889901023,0.0,-5e-05
1399.5,2.5999765017840204,0.003,-5e-05
1400.0,2.5999430468953797,0.0,5e-05
1400.5,2.5999326379570507,0.0010190130511350418,5e-05
1401.0,2.59998917637347,0.0,-5e-05
1401.5,2.6000682687492676,0.003,-5e-05
1402.0,2.6000555418855957,0.0,-5e-05
1402.5,2.600048815787225,0.003,-5e-05
1403.0,2.600010434165507,0.0,-5e-05
1403.5,2.5999986323608084,0.003,-5e-05
1404.0,2.5999582298262016,0.0,5e-05
1404.5,2.599948222298184,0.003,5e-05
1405.0,2.5999061775593466,0.0,5e-05
1405.5,2.59988896039775,0.0,5e-05
1406.0,2.599968100521404,0.003,-5e-05
1406.5,2.5999639281091675,0.0,5e-05
1407.0,2.599964341137409,0.003,2.9475067266693245e-05
1407.5,2.599914098294154,0.0,5e-05
1408.0,2.599907608396122,0.0,5e-05
1408.5,2.6000011879679517,0.003,-5e-05
1409.0,2.599984461023544,0.0,-5e-05
1409.5,2.599979575889266,0.003,-5e-05
1410.0,2.599951664180829,0.0,5e-05
1410.5,2.599946427595305,0.003,5e-05
1411.0,2.599901855494774,0.0,5e-05
1411.5,2.599896325063386,0.0,5e-05
